;user;username;text;ts;key
377;Ragaenys;Ragaenys;no worries.. I will just need 10 minutes with Reto and for me it can be after 9.30.. R2D2 asked me to do some ACME UX study this morning and things got pushed a bit.. But I am finishing things so there is no problem..;1496233477.690633;1496233477U4A2FRAQ4
378;Baegar;Baegar;valenGoneneos: please just be aware that we start the myACME-prototype tomorrow at 09:30 and this will need your attention for the next 3.5 weeks.;1496233234.633466;1496233234U035J4RG4
379;Gonaleos;Gonaleos;I will have furniture delivery tomorrow so I will arrive probably early afternoon;1496229658.8894231;1496229658U3W886EF4
380;Ragaenys;Ragaenys;<@U2Q4H6S4E> I will leave at 15.30 (start permit process) and then do HO to finish bank now. Will deliver tomorrow morning so we can chat about it.;1496225827.122392;1496225827U4A2FRAQ4
381;Kenning;Kenning;I will arrive back in the office around 13:00 (I expect the train to be delayed).;1496221949.19679;1496221949U4CM3PGSH
382;Braddock;Braddock;I can deliver a very first rough version of the UI, like we have now in SV11.;1496221923.190409;1496221923U0CNKFT0A
383;Kenning;Kenning;<@U0CNKFT0A> No objections, please just consider our Sprint goals for Peax (the Sprint ends next Wednesday). If you see any problems accomplishing them already right now, please tell me.;1496221866.176525;1496221866U4CM3PGSH
384;Braddock;Braddock;Without objections, I would like to do home office tomorrow (Thursday). On Friday I will attend the SV11 workshop at MomoLtd in the morning, followed by a visit to the hospital for the knee. Then in the afternoon I depart to The Netherlands and will be back Tuesday next week.;1496220031.721602;1496220031U0CNKFT0A
385;Caenraenos;Caenraenos;Apologies for the late update: I am in technical meetings with ACME in Horgen this morning, and in the afternoon I will be at MoonInc with Mario.;1496215684.752942;1496215684U035AASB8
386;Joragni;Joragni;By way of exception, I'm present today. I'll be taking Friday off this week instead.;1496212247.162328;1496212247U0K4J0613
387;Maehagar;Maehagar;Will come ~@9:30 - missed my train this morning ;1496212029.1304462;1496212029U278DLL2D
388;Balaemar;Balaemar;I have to leave at 17:00 to pick up my daughter from a school friend where she could stay while my wife is on a teaching course;1496211422.0478199;1496211422U035FRUCY
389;Galeris;Galeris;I’l need to leave at 17:45 today;1496156741.4577231;1496156741U036SKV77
390;Celtaris;Celtaris;I will leave around 17:30 and be in HO later.;1496155727.039396;1496155727U2Q4H6S4E
391;Myke;Myke;Forgot to bring my charger and my battery is running low now. I'll do some errands and be back in about an hour to continue my work. Ring me if anything urgent.;1496150054.9079099;1496150054U0MGNKETU
392;Styrund;Styrund;today i will have lunchbreak from 12.45 to around 14.00 because i have to go to the insurance company;1496136678.901148;1496136678U036U40UC
393;Kenning;Kenning;As announced, I will be in HO this afternoon + I will be unavailable tomorrow morning.;1496133840.226201;1496133840U4CM3PGSH
394;Balaemar;Balaemar;i have an appointment with a craftsman and have to leave at least at 18:00;1496129193.213041;1496129193U035FRUCY
395;Ryswell;Ryswell;I will be away at 10.45am today for another doctor appointment and I will be back in the office after that;1496128937.1659;1496128937U2777Q7E3
396;Mamon;Mamon;I am doing HO today to concentrate on fixing the 'Makrolage' functionality. Later in the afternoon I'll continue working on 'SV11' data transformations. Apologies for the late notice. ;1496128682.120825;1496128682U27727KK8
397;Gaelralis;Gaelralis;today i go eat in zürich and will take a longer mid-day break.;1496118412.898251;1496118412U0HLAK1T6
398;Celtaris;Celtaris;I have a short appointment at the doctor tomorrow after lunch and will be back in the office at 14:00.;1496091437.57855;1496091437U2Q4H6S4E
399;Brarald;Brarald;Tomorrow I will be @ 11 at the office...:raising_hand::skin-tone-3:;1496088255.240851;1496088255U4U5QNWTZ
400;Darnor;Darnor;will be online at about 18:30 again;1496071135.984462;1496071135U1D7Q9J8M
401;Myke;Myke;I will do HO tomorrow. I'm still carrying the fatigue from last week and needed some rest.;1496071039.967333;1496071039U0MGNKETU
402;Furrow;Furrow;I will do HO tomorrow.;1496068474.4543688;1496068474U3V31A9M0
403;Maehagar;Maehagar;I need to leave at 16:25 tomorrow;1496067480.247987;1496067480U278DLL2D
404;Gonaleos;Gonaleos;I have an appointment tomorrow so I am going to leave at 12:40, it probably takes 1-1.5 hours;1496057454.347106;1496057454U3W886EF4
405;Tareneos;Tareneos;I'm in the office today (after 10am) and tomorrow;1496045313.09446;1496045313U4C4ZJYNS
406;Furrow;Furrow;I'm working for MoonInc right now. I'm going to finish this and come to the office after that.;1496035152.659062;1496035152U3V31A9M0
407;Caenraenos;Caenraenos;I am at ACME today morning with Ramon.;1496034946.641057;1496034946U035AASB8
408;Celtaris;Celtaris;Due to my 90% pensum, I will have a day off tomorrow Monday. I will be online from time to time and available for ACME. Have a good day!;1496004577.546889;1496004577U2Q4H6S4E
409;Overton;Overton;I might not make it in time to the weekly on monday because of my doctors appointment (depending on how long this takes).;1495973295.993527;1495973295U0PSDKXHR
410;Galeris;Galeris;i’ll have to leave at 17:00 today;1495809510.4569972;1495809510U036SKV77
411;Styrund;Styrund;<@U036U40UC|leia> uploaded a file: <https://acmeinc.slack.com/files/leia/F5KBL3Q31/bullshit2.gif|bullshit2.gif>;1495806534.680166;1495806534U036U40UC
412;Furrow;Furrow;i will take the 16.22 bus here at haldengut. But keep working till 17.30 in the train.;1495805949.5425599;1495805949U3V31A9M0
413;Kenning;Kenning;"Please be aware that I will be away next Wednesday morning &amp; noon in Bern for speaking at an Agile Breakfast event. As I have to prepare it, I would like to take HO on Tuesday afternoon.";1495797363.1148946;1495797363U4CM3PGSH
414;Vaerys;Vaerys;Away for Physio, will be back online by 3:30 pm ;1495797181.09125;1495797181U0PLNK7EK
415;Styrund;Styrund;I will be in HomeOffice on Monday Morning because my wife has a doctors appointment;1495790263.0772052;1495790263U036U40UC
416;Joragni;Joragni;As I mentioned on Wednesday, I'm taking today off.;1495774219.1798189;1495774219U0K4J0613
417;Darnor;Darnor;joe and me will be at MoonInc tomorrow morning. ;1495747233.189276;1495747233U1D7Q9J8M
418;Overton;Overton;I'm not feeling well and won't be in the office tomorrow. I will work from home in the afternoon if I feel better.;1495741951.858011;1495741951U0PSDKXHR
419;Eliar;Eliar;As discussed with Ramon I will make HO tomorrow;1495730034.655489;1495730034U0A8NPHRD
420;Galeris;Galeris;i’m off for lunch now, will be back in 1 hour tops;1495622303.277055;1495622303U036SKV77
421;Tareneos;Tareneos;i'm available today remotely until 11:30am;1495609468.021634;1495609468U4C4ZJYNS
422;Baegar;Baegar;Today, I will have a Meeting over Lunch in Zurich with the guys from Kingfluencer. Therefore I will be out of office from 11:30 to 14:30.;1495607273.753453;1495607273U035J4RG4
423;Joragni;Joragni;By way of exception, I'm present today. I'll be taking Friday off this week instead.;1495603431.389468;1495603431U0K4J0613
424;Darnor;Darnor;Ill leave now and will be online again at 6pm;1495550845.97314;1495550845U1D7Q9J8M
425;Mamon;Mamon;I will do HO on Friday.;1495548420.1995618;1495548420U27727KK8
426;Styrund;Styrund;:smile:;1495546799.7116554;1495546799U036U40UC
427;Styrund;Styrund;;1495546795.710616;1495546795U036U40UC
428;Vaerys;Vaerys;Not feeling well, will leave a little earlier today and will stay at home tomorrow;1495544062.000104;1495544062U0PLNK7EK
429;Balaemar;Balaemar;As anounced I am in HO today;1495517822.8017714;1495517822U035FRUCY
430;Kenning;Kenning;As anounced I will be in HO tomorrow morning;1495461234.5570679;1495461234U4CM3PGSH
431;Torerne;Torerne;Tomorrow afternoon <@U035AASB8> and I are at Shopishop;1495456504.442406;1495456504U035FRZHY
432;Tareneos;Tareneos;Hi, here today and Tuesday only, i'm away Wednesday-friday;1495440912.764487;1495440912U4C4ZJYNS
433;Ryswell;Ryswell;I have to go to the hospital for a X-Ray for my knee. I will be in HO after that;1495439452.518204;1495439452U2777Q7E3
434;Mamon;Mamon;I will be in the office around 11:30 today. ;1495436943.148322;1495436943U27727KK8
435;Balaemar;Balaemar;I will do HO on Tuesday (tomorrow). They will clean the car park and then it will be difficult to find a parking lot when arrived too late;1495436008.028269;1495436008U035FRUCY
436;Gaelralis;Gaelralis;Since thursday is an official holiday, I will move to the country side on wesdnesday afternoon (will do HO on thursday and friday).;1495434914.9067721;1495434914U0HLAK1T6
437;Myke;Myke;I'll be at the office around noon. Worked late last night.;1495434551.868703;1495434551U0MGNKETU
438;Celtaris;Celtaris;<@U035J4RG4> and I are at ACME this morning for a myACME meeting. We will be at the office around lunch time.;1495428866.380668;1495428866U2Q4H6S4E
439;Kenning;Kenning;I will take HO on Tuesday morning as I expect craftsmen in my flat (again).;1495212316.339758;1495212316U4CM3PGSH
440;Barler;Barler;I need to leave at lunch time next Wednesday and have a day off at Friday.;1495207974.162509;1495207974U3LNBFS85
441;Balaemar;Balaemar;ACME Golive starts on 6pm today. I will leave at 3pm and be in heraclesdby for some issues.;1495187219.769573;1495187219U035FRUCY
442;Balaemar;Balaemar;I try to leave at 3pm today (if the ACME golive has no problems) for some family visiting;1495186601.6602788;1495186601U035FRUCY
443;Furrow;Furrow;Just had a longer call with Pollux. Now on my way to Winterthur. Will be in the office at 09.15..;1495172144.5993302;1495172144U3V31A9M0
444;Olmomir;Olmomir;I will have to leave at 17 today, will be available again after 18:30 if needed.;1495106229.6762009;1495106229U0CN3AKDL
445;Balaemar;Balaemar;back again;1495096443.94296;1495096443U035FRUCY
446;Gaelralis;Gaelralis;get well soon!;1495091789.150506;1495091789U0HLAK1T6
447;Balaemar;Balaemar;Pollux deliver takes longer than expected. i am now off for about one hour.;1495091561.116876;1495091561U035FRUCY
448;Braddock;Braddock;I go to Bern in the afternoon together with Fisher to present SV11 and SV12 to the compliance team of MomoLtd.;1495088898.788595;1495088898U0CNKFT0A
449;Gaelralis;Gaelralis;as with last week, i will move to the country side after lunch. will be working in the train and tomorrow.;1495088638.761354;1495088638U0HLAK1T6
450;Torerne;Torerne;I will leave at 4pm today to attend the spring professional launch dinner in bern.;1495086103.518491;1495086103U035FRZHY
451;Balaemar;Balaemar;I am in HO today. I will be off for about one hour from 8:45 to go to the car check;1495081618.143408;1495081618U035FRUCY
452;Jaereron;Jaereron;I still don't feel better .. I will stay another day at home ;1495078451.881733;1495078451U035G5WMS
453;Myke;Myke;I'll come in a little late today. Another late night.;1495065349.5949519;1495065349U0MGNKETU
454;Maehagar;Maehagar;tomorrow, 18 may I won't be in the office in the morning - my appointment with the embassy has been moved;1495032275.303955;1495032275U278DLL2D
455;Balaemar;Balaemar;my iNet is working again, so i am in HO tomorrow as announced on monday;1495025623.365558;1495025623U035FRUCY
456;Celtaris;Celtaris;I will have to leave around 17:15 today and will be in HO later.;1495020237.401998;1495020237U2Q4H6S4E
457;Tareneos;Tareneos;Away in the afternoon (12-18:00), Papi tag, #DaaS;1495012340.048489;1495012340U4C4ZJYNS
458;Caenraenos;Caenraenos;In addition to my absence today and tomorrow, I will be at ACME in Horgen on Friday morning, according to plan in the office by lunch time.;1495006348.970033;1495006348U035AASB8
459;Vaerys;Vaerys;Taking longer than expected at the prtho, will be back by probably 10:15 ;1495005576.852881;1495005576U0PLNK7EK
460;Kenning;Kenning;I am in HO / travelling today, available until 11:00 before taking a plane and possibly after 15:00 again;1494999670.190775;1494999670U4CM3PGSH
461;Ryswell;Ryswell;Today I am at HAL9000;1494999207.1517632;1494999207U2777Q7E3
462;Joragni;Joragni;As scheduled, I'm taking the day off today. See you all again on Thursday.;1494997914.04324;1494997914U0K4J0613
463;Jaereron;Jaereron;I don’t feel very well .. If it’s tomorror morning not a little bit better I would like to stay at home;1494962048.714;1494962048U035G5WMS
464;Gaelralis;Gaelralis;tomorrow, i will leave at 16:00 to attend the shareholders meeting of my previous employer. ;1494953380.197663;1494953380U0HLAK1T6
465;Barler;Barler;I would like to do Home Office tomorrow so that I can concentrate on my tasks;1494943467.053916;1494943467U3LNBFS85
466;Vaerys;Vaerys;Off to Paris for React Europe from Wednesday afternoon to Friday, will be working from home tomorrow till ~3pm and will then fly out. Will also be unavailable from 8:30 - 9:30 in the morning as I have an appointment with the Ortho;1494942753.825077;1494942753U0PLNK7EK
467;Mamon;Mamon;I will be doing the Home Office today working on my outheraclesding bug fixing tasks, Apologies for a last minute notice.;1494916529.948269;1494916529U27727KK8
468;Overton;Overton;I will have to leave a bit earlier today, because I have to show some people around my apartment at 5pm. I will finish up some work after that from home.;1494914233.711202;1494914233U0PSDKXHR
469;Balaemar;Balaemar;I will be a bit late. I have to call my provider to get my phone+inet work.;1494910995.423061;1494910995U035FRUCY
470;Tareneos;Tareneos;miamia: who's your internet provider?;1494855130.2936811;1494855130U4C4ZJYNS
471;Myke;Myke;I need to work extra long hour for next few days to rush for deadline, so I'll work from home tomorrow and Wednesday to save me some commuting time.;1494854844.218226;1494854844U0MGNKETU
472;Tareneos;Tareneos;Yes that is really annoying! i've also lost allot of time in embassies and consulates, can share a few stories over a beer sometime;1494841617.871577;1494841617U4C4ZJYNS
473;Balaemar;Balaemar;I will be in HO on thursday - if my phone and inet works again till then :grimacing:;1494835989.833863;1494835989U035FRUCY
474;Vaerys;Vaerys;Yes, which is why I took the tracking number and it shows the passport reached oerlikon today morning. However, these idiots still wasted half of my day. ;1494835424.738962;1494835424U0PLNK7EK
475;Tareneos;Tareneos;"if they sent it by post, then it has a tracking ID, 
i know my embassy posts with insurance the passport out as they require a signature,";1494834826.6372411;1494834826U4C4ZJYNS
476;Barler;Barler;:unamused:;1494834445.5786061;1494834445U3LNBFS85
477;Vaerys;Vaerys;Fucking idiots, they told me to come and collect it but now they are claiming it they sent it by post. ;1494834343.562756;1494834343U0PLNK7EK
478;Galeris;Galeris;it’s usually in the last place you look, tell them to look there first :stuck_out_tongue:;1494833987.508082;1494833987U036SKV77
479;Vaerys;Vaerys;Might be only back by lunch, the Indian embassy can't find my passport as of now :disappointed_relieved: ;1494833916.497228;1494833916U0PLNK7EK
480;Caenraenos;Caenraenos;I will be in München at ACME on Wednesday and in Berne talking to some compliance expert group on Thursday, so away for two days.;1494832328.2675712;1494832328U035AASB8
481;Kenning;Kenning;I will be in Amsterdam for the TNW conference from Wednesday afternoon to Friday. On Wednesday morning I would like to take HO as I have to take the flight at noon.;1494831402.145322;1494831402U4CM3PGSH
482;Styrund;Styrund;i will work from HomeOffice on Wednesday morning;1494831078.106575;1494831078U036U40UC
483;Vaerys;Vaerys;I have to go the indian embassy in bern tomorrow morning and I will come to the office directly from there so I will late ;1494796686.867042;1494796686U0PLNK7EK
484;Celtaris;Celtaris;I have a day off tomorrow but will be available for ACME and online from time to time.;1494793091.706218;1494793091U2Q4H6S4E
485;Braddock;Braddock;On Tuesday morning, I will start a bit later and work longer in the evening.;1494786357.4083786;1494786357U0CNKFT0A
486;Gonaleos;Gonaleos;I will arrive a few hours later on Monday;1494590270.8340359;1494590270U3W886EF4
487;Kenning;Kenning;As announced, I will be in HO from 15:00 forward;1494587920.495088;1494587920U4CM3PGSH
488;Eliar;Eliar;Due to physiotherapy I'll have to leave around 1615 today;1494580390.281687;1494580390U0A8NPHRD
489;Celtaris;Celtaris;I will have to leave around 17:15 today and will be in HO later.;1494574162.2376962;1494574162U2Q4H6S4E
490;Kenning;Kenning;I will be in the office at 9:00;1494570001.749233;1494570001U4CM3PGSH
491;Myke;Myke;As mentioned, I'll be at HO today. Another late night.;1494568243.589691;1494568243U0MGNKETU
492;Gonaleos;Gonaleos;I have to leave at 17:00 on Friday;1494533807.2805474;1494533807U3W886EF4
493;Brarald;Brarald;I will be in 15 min. @ the office;1494503956.0426161;1494503956U4U5QNWTZ
494;Maehagar;Maehagar;I'll have to take the morning off on Monday 15.05 - I need to visit the Italian embassy yet again;1494501479.6579509;1494501479U278DLL2D
495;Maehagar;Maehagar;Sorry, forgot to notify anticipately, - I will come @10:00, as I had to send a document to my girlfriend urgently;1494486498.084735;1494486498U278DLL2D
496;Gaelralis;Gaelralis;today, i will leave at noon to transport my double bass on the country side;1494486153.038549;1494486153U0HLAK1T6
497;Vaerys;Vaerys;Late by ~30m or so, at the MigrationFishert ;1494482490.6320481;1494482490U0PLNK7EK
498;Braddock;Braddock;Without objections, I'd like to do home office tomorrow. I've a dentist appointment at 11:30. ;1494481445.538572;1494481445U0CNKFT0A
499;Ryswell;Ryswell;Tomorrow I have to leave at 10.30 for a doctor appointment and will be back after that;1494428658.789998;1494428658U2777Q7E3
500;Gonaleos;Gonaleos;I will come later tomorrow morning, I will be here at 10:00 latest;1494400157.98816;1494400157U3W886EF4
501;Vaerys;Vaerys;Will not be late, but will like to leave around 2:30 so that I can collect documents for visa application ;1494396849.61265;1494396849U0PLNK7EK
502;Celtaris;Celtaris;I will have to leave a little earlier today (17:15) and will be in HO later.;1494394107.3714118;1494394107U2Q4H6S4E
503;Joragni;Joragni;As scheduled, I'm taking the day off today. See you all again on Thursday.;1494392296.226117;1494392296U0K4J0613
504;Vaerys;Vaerys;Will be late, need to get some documents from the insurance people;1494375992.9865608;1494375992U0PLNK7EK
505;Gaelralis;Gaelralis;On thursday, I will leave at noon : I have to transport my double bass on the country side.;1494342708.071359;1494342708U0HLAK1T6
506;Gonaleos;Gonaleos;I have to go to the post office today at 11:30, it will take max an hour;1494317973.0590632;1494317973U3W886EF4
507;Celtheon;Celtheon;Sorry, I'll be late for the daily.;1494311336.176245;1494311336U1RLS54MB
508;Braddock;Braddock;I’m waiting for a computation to finish and work untill then at home. I will arrive later in the office this morning.;1494311293.1721618;1494311293U0CNKFT0A
509;Barler;Barler;I need to leave at 16:00 today;1494311083.151815;1494311083U3LNBFS85
510;Myke;Myke;I'll be a little late today. There's no direct tram going to the station because of some construction works.;1494308084.893866;1494308084U0MGNKETU
511;Furrow;Furrow;I’ll do HO this afternoon.;1494307931.8818052;1494307931U3V31A9M0
512;Ragaenys;Ragaenys;I will have to leave earlier tomorrow to have an university exam at 16:45 CEST.;1494242887.808342;1494242887U4A2FRAQ4
513;Kenning;Kenning;I would like to take HO on Friday afternoon to receive a new fridge for my flat.;1494230140.8958619;1494230140U4CM3PGSH
514;Barler;Barler;I need to leave earlier tomorrow, around 16:30;1494224585.242426;1494224585U3LNBFS85
515;Darnor;Darnor;I'll be in the office on Thursday 11th;1494006042.5535061;1494006042U1D7Q9J8M
516;Myke;Myke;There's further delay in zurich. Be there before 10;1493969053.962185;1493969053U0MGNKETU
517;Tareneos;Tareneos;I'm here this morning and some time in the afternoon, c,a 14:00, but might have to leave spontaneously if the schools calls, as my kid isn't 100% today;1493968387.886357;1493968387U4C4ZJYNS
518;Myke;Myke;Missed my Vaelerisr train, will be around 40 min late today.;1493965240.589556;1493965240U0MGNKETU
519;Celtheon;Celtheon;Tomorrow I have to leave earlier around 16:30;1493931406.032371;1493931406U1RLS54MB
520;Braddock;Braddock;I’m attending a conference and will be back on Monday next week.;1493898849.187669;1493898849U0CNKFT0A
521;Vaerys;Vaerys;I will be back after a meeting with the insurance firm;1493896328.820618;1493896328U0PLNK7EK
522;Styrund;Styrund;I will be in home office tomorrow (friday, 5.5.2017) afternoon;1493896060.781538;1493896060U036U40UC
523;Brarald;Brarald;I will be at the office in 15 min.:raising_hand::skin-tone-3:;1493881624.510965;1493881624U4U5QNWTZ
524;Eliar;Eliar;Due to a second doctor appointment I have to leave at lunchtime and will be working from home afterwards;1493881149.45221;1493881149U0A8NPHRD
525;Maehagar;Maehagar;My train is late as well, so I'll be too for the daily today, sorry. May the 4th be with you! ;1493879120.250168;1493879120U278DLL2D
526;Vaerys;Vaerys;I am at home office;1493878160.167208;1493878160U0PLNK7EK
527;Furrow;Furrow;Cancelled train: I'll be at the office around 9. ;1493876506.041312;1493876506U3V31A9M0
528;Celtaris;Celtaris;<@U035AASB8> and I are at ACME today.;1493876037.0087981;1493876037U2Q4H6S4E
529;Eliar;Eliar;Due to a doctors appointment I will arrive around 10am in the office tomorrow;1493828845.957498;1493828845U0A8NPHRD
530;Vaerys;Vaerys;I am in HO tomorrow, need to be home for some repair people who will visit. Will be working on ACME;1493825547.964711;1493825547U0PLNK7EK
531;Furrow;Furrow;I’ll too. Leave at 16.20 and keep working in train and later HO;1493818611.830565;1493818611U3V31A9M0
532;Balaemar;Balaemar;I'll too. Leave at 16:30 and also in HO later;1493810716.336765;1493810716U035FRUCY
533;Celtaris;Celtaris;I will leave after 17: 00 today and be in HO about an hour later.;1493809526.1690712;1493809526U2Q4H6S4E
534;Barler;Barler;I need to leave at 17:00 tomorrow;1493808402.006933;1493808402U3LNBFS85
535;Gaelralis;Gaelralis;Tomorrow (Thursday), i have a doctor’s appointment in the morning. I should be in the office around 10:30.;1493805435.569822;1493805435U0HLAK1T6
536;Jaereron;Jaereron;I have the leave earlier on Thursday .. at around 17:00;1493797065.2704039;1493797065U035G5WMS
537;Ragaenys;Ragaenys;Morning all, please be aware that Friday (also saturday and monday) I will be on a AI course in a different city. Thank you.;1493796555.20451;1493796555U4A2FRAQ4
538;Mamon;Mamon;I will be in the office at 10:30;1493796319.174762;1493796319U27727KK8
539;Kenning;Kenning;I must leave at 16:30 because I have to do some errands;1493794920.014008;1493794920U4CM3PGSH
540;Galeris;Galeris;As mentioned before i'm in HO today to focus on document storage;1493793050.833083;1493793050U036SKV77
541;Joragni;Joragni;Today is my scheduled day off. See you again on Thursday.;1493784936.235605;1493784936U0K4J0613
542;Ryswell;Ryswell;I am at HAL9000 tomorrow;1493748592.45955;1493748592U2777Q7E3
543;Braddock;Braddock;On Wednesday I do home office until 10:30, after that I've a meeting at MomoLtd. I expect to be in the office in the afternoon. ;1493743203.934122;1493743203U0CNKFT0A
544;Galeris;Galeris;I’ll be in HO as well tomorrow to focus on document-storage;1493736663.939045;1493736663U036SKV77
545;Myke;Myke;I have a physio-appointment tomorrow morning, I'll do HO.;1493736556.9059026;1493736556U0MGNKETU
546;Ragaenys;Ragaenys;<@U4A2FRAQ4|valenGoneneos> has joined the channel;1493712889.43641;1493712889U4A2FRAQ4
547;Barler;Barler;I need to leave at 16:15 today;1493706627.661978;1493706627U3LNBFS85
548;Myke;Myke;I'll be slightly late. The train from Basel was 10min delayed;1493706147.617497;1493706147U0MGNKETU
549;Balaemar;Balaemar;I'le in HO today to have an eye on my daughter. She got ill last saturday with fever and vomiting and has to stay another day at home.;1493701739.2694;1493701739U035FRUCY
550;Celtheon;Celtheon;Tomorrow I'll work from HO I need to focus on Castor authorization.;1493664409.15742;1493664409U1RLS54MB
551;Braddock;Braddock;Tuesday morning around 10:00 I need to visit the bank. I will be back very soon after.;1493650169.89574;1493650169U0CNKFT0A
552;Gaelralis;Gaelralis;tuesday afternoon, i need to go in zurich. will then be back arount 16:00;1493638359.480315;1493638359U0HLAK1T6
553;Jaereron;Jaereron;I have a doctors appointment on Tuesday morning, so I'm available after lunch ;1493396891.890274;1493396891U035G5WMS
554;Myke;Myke; Ill be at the office around 9.15;1493361418.687115;1493361418U0MGNKETU
555;Baegar;Baegar;i'll be departing at 16:00.;1493358144.373732;1493358144U035J4RG4
556;Furrow;Furrow;Because of heavy snowfall there are no busses here in st.gallen. Coming to the office asap...;1493357726.3401241;1493357726U3V31A9M0
557;Joragni;Joragni;I'll be departing today at 16:45.;1493357709.3385231;1493357709U0K4J0613
558;Celtaris;Celtaris;I will be in HO this afternoon and work on estimates and offers for R13.1.;1493356855.2680721;1493356855U2Q4H6S4E
559;Overton;Overton;I will have to leave the office at 16:00 tomorrow to look at a new flat. debending on how long it takes I will return to the office or work at home in the evening.;1493311571.42839;1493311571U0PSDKXHR
560;Balaemar;Balaemar;I have to leave at 16:30 to get my car from garage;1493300826.058706;1493300826U035FRUCY
561;Gaelralis;Gaelralis;i will take the train at 16:00 to go on the country side.;1493297409.1964571;1493297409U0HLAK1T6
562;Tareneos;Tareneos;"Hi, I come by before lunch for the rest of the day, to help anyone with setting up their VPN.
will work from the Monolith room,";1493284643.044678;1493284643U4C4ZJYNS
563;Vaerys;Vaerys;I leave at 17:15 for my physio appointment;1493283561.841274;1493283561U0PLNK7EK
564;Olmomir;Olmomir;I would need to leave today at 17, I will be reachable again after 18:45.;1493282113.57318;1493282113U0CN3AKDL
565;Barler;Barler;I would like to leave earlier today, around 16:00;1493282022.556709;1493282022U3LNBFS85
566;Eliar;Eliar;Due to a doctor's appointment I will be in the office around 10 tomorrow.;1493277585.827438;1493277585U0A8NPHRD
567;Gaelralis;Gaelralis;thx :slightly_smiling_face:;1493275334.5351741;1493275334U0HLAK1T6
568;Myke;Myke;I have an appointment for my first physio tomorrow morning so I will be at HO.;1493212382.1234381;1493212382U0MGNKETU
569;Vaerys;Vaerys;Get well soon :slightly_smiling_face:;1493211987.028136;1493211987U0PLNK7EK
570;Gaelralis;Gaelralis;I think that I catched a cold and I will soon head home.;1493211062.812353;1493211062U0HLAK1T6
571;Vaerys;Vaerys;Alright, I have to leave for my appointment with the  orthopedic. Be back after that.;1493204018.6274161;1493204018U0PLNK7EK
572;Mamon;Mamon;I will be in the office at 10:30;1493189495.18114;1493189495U27727KK8
573;Maehagar;Maehagar;I'll be ~15 mins late for the daily today - missed my train;1493187947.009589;1493187947U278DLL2D
574;Myke;Myke;I'll be about 30 min delayed because of bad weather - and mistakenly boarded the slow regional train.;1493187781.992438;1493187781U0MGNKETU
575;Vaerys;Vaerys;I am in home office today;1493186622.87623;1493186622U0PLNK7EK
576;Joragni;Joragni;Today is my scheduled day off. See you again on Thursday.;1493182482.523739;1493182482U0K4J0613
577;Vaerys;Vaerys;I’ll be in home office tomorrow;1493132975.0642571;1493132975U0PLNK7EK
578;Baegar;Baegar;i'll be in the Home Office tomorrow.;1493132683.970763;1493132683U035J4RG4
579;Darnor;Darnor;I'll be at FLX Labs tomorrow morning in order to sort out ACME related stuff. Maybe even until early afternoon.;1493132266.8342538;1493132266U1D7Q9J8M
580;Vaerys;Vaerys;I will need to leave at 17:15 today for physio;1493118093.591366;1493118093U0PLNK7EK
581;Maehagar;Maehagar;Sorry, need one more hour or so. ;1493106386.597232;1493106386U278DLL2D
582;Gaelralis;Gaelralis;i have an appointment with my osteopath at 14:00;1493103021.145282;1493103021U0HLAK1T6
583;Overton;Overton;Have to leave at 5pm today because I get a delivery. I will finish up some work from home after that.;1493102977.140585;1493102977U0PSDKXHR
584;Furrow;Furrow;Had to wait longer for the plumber than expected. Going to be at the office later. Working and available from now.;1493101531.99173;1493101531U3V31A9M0
585;Braddock;Braddock;I finish processing a computation at home before I come to the office. I expect to arrive between 10 and 11.;1493101213.96182;1493101213U0CNKFT0A
586;Baegar;Baegar;":classy_pbj_time: for the muffins
:hear_no_evil: for your early leave";1493100531.901601;1493100531U035J4RG4
587;Galeris;Galeris;There’s banana-chocolate muffins in the kitchen :smile: also i’m off at 12:00 today, so if you need something let me know asap;1493099821.8378901;1493099821U036SKV77
588;Maehagar;Maehagar;I'll be in the office @ ~9:30 today, 25.04;1493084216.654937;1493084216U278DLL2D
589;Darnor;Darnor;i have to leave at 17:30 today and will be online again from 18:00 for a call;1493038967.568286;1493038967U1D7Q9J8M
590;Gaelralis;Gaelralis;i have an errant in town.;1493035281.887082;1493035281U0HLAK1T6
591;Balaemar;Balaemar;i am off for lunch till 2pm;1493032833.524097;1493032833U035FRUCY
592;Baegar;Baegar;This will be my last week in the office before a 2-week vacation from may, 1st to may, 14th. If you have any questions, please address them this week.;1493019105.302475;1493019105U035J4RG4
593;Darnor;Darnor;I'll be in the army repetition course from Thursday 27th of April and back in the office on Monday 22nd of May.;1493018963.281393;1493018963U1D7Q9J8M
594;Furrow;Furrow;Going to be late.. Will be at the office at 09.10 o'clock.;1493014044.746851;1493014044U3V31A9M0
595;Balaemar;Balaemar;as announced I will be in HO today. I am off at 8:30 for up to 1 our to bring my car to the garage;1493010661.495661;1493010661U035FRUCY
596;Braddock;Braddock;On Monday 11:00-12:00 I've to go to the hospital.;1492964197.96213;1492964197U0CNKFT0A
597;Jaereron;Jaereron;I plan to leave today early .. so if anyone requires anything from me please come to me soon;1492774081.948025;1492774081U035G5WMS
598;Furrow;Furrow;I will have to leave around 16.00 today because of a doctor appointment in st.gallen.;1492757835.434784;1492757835U3V31A9M0
