;user;class;text;ts;key
400;Darnor;3;will be online at about 18:30 again;1496071135.984462;1496071135U1D7Q9J8M
401;Myke;3;I will do HO tomorrow.;1496071039.967333;1496071039U0MGNKETU
401;Myke;5;I'm still carrying the fatigue from last week;1496071039.967333;1496071039U0MGNKETU
401;Myke;8;needed some rest.;1496071039.967333;1496071039U0MGNKETU
402;Furrow;3;I will do HO tomorrow.;1496068474.4543688;1496068474U3V31A9M0
403;Maehagar;1;I need to leave at 16:25 tomorrow;1496067480.247987;1496067480U278DLL2D
404;Gonaleos;1;I have an appointment tomorrow so I am going to leave at 12:40;1496057454.347106;1496057454U3W886EF4
404;Gonaleos;1;it probably takes 1-1.5 hours;1496057454.347106;1496057454U3W886EF4
405;Tareneos;1;I'm in the office today after 10am) tomorrow;1496045313.09446;1496045313U4C4ZJYNS
406;Furrow;8;I'm working for SPS right now.;1496035152.659062;1496035152U3V31A9M0
406;Furrow;8;I'm going to finish this;1496035152.659062;1496035152U3V31A9M0
406;Furrow;7;come to the office after that.;1496035152.659062;1496035152U3V31A9M0
407;Caenraenos;6;I am at BANK-now today morning with Ramon.;1496034946.641057;1496034946U035AASB8
408;Celtaris;2;Due to my 90% pensum I will have a day off tomorrow Monday.;1496004577.546889;1496004577U2Q4H6S4E
408;Celtaris;3;I will be online from time to time available for BN.;1496004577.546889;1496004577U2Q4H6S4E
408;Celtaris;8;Have a good day!;1496004577.546889;1496004577U2Q4H6S4E
409;Overton;4;I might not make it in time to the weekly on monday because of my doctors appointment;1495973295.993527;1495973295U0PSDKXHR
409;Overton;8;depending on how long this takes).;1495973295.993527;1495973295U0PSDKXHR
410;Galeris;1;i’ll have to leave at 17:00 today;1495809510.4569972;1495809510U036SKV77
411;Styrund;8;<@U036U40UC|Styrund> uploaded a file: <https://deepimpact.slack.com/files/Styrund/F5KBL3Q31/bullshit2.gif|bullshit2.gif>;1495806534.680166;1495806534U036U40UC
412;Furrow;1;i will take the 16.22 bus here at haldengut.;1495805949.5425599;1495805949U3V31A9M0
412;Furrow;1;But keep working till 17.30 in the train.;1495805949.5425599;1495805949U3V31A9M0
413;Kenning;6;"Please be aware that I will be away next Wednesday morning &amp; noon in Bern for speaking at an Agile Breakfast event.";1495797363.1148946;1495797363U4CM3PGSH
413;Kenning;8;As I have to prepare it;1495797363.1148946;1495797363U4CM3PGSH
413;Kenning;3;I would like to take HO on Tuesday afternoon.;1495797363.1148946;1495797363U4CM3PGSH
414;Vaerys;4;Away for Physio will be back online by 3:30 pm;1495797181.09125;1495797181U0PLNK7EK
415;Styrund;3;I will be in HomeOffice on Monday Morning because my wife has a doctors appointment;1495790263.0772052;1495790263U036U40UC
416;Joragni;8;As I mentioned on Wednesday;1495774219.1798189;1495774219U0K4J0613
416;Joragni;2;I'm taking today off.;1495774219.1798189;1495774219U0K4J0613
417;Darnor;6;Joel me will be at sps tomorrow morning.;1495747233.189276;1495747233U1D7Q9J8M
418;Overton;5;I'm not feeling well;1495741951.858011;1495741951U0PSDKXHR
418;Overton;1;won't be in the office tomorrow.;1495741951.858011;1495741951U0PSDKXHR
418;Overton;3;I will work from home in the afternoon if I feel better.;1495741951.858011;1495741951U0PSDKXHR
419;Eliar;3;As discussed with Ramon I will make HO tomorrow;1495730034.655489;1495730034U0A8NPHRD
420;Galeris;1;i’m off for lunch now;1495622303.277055;1495622303U036SKV77
420;Galeris;7;will be back in 1 hour tops;1495622303.277055;1495622303U036SKV77
421;Tareneos;3;i'm available today remotely until 11:30am;1495609468.021634;1495609468U4C4ZJYNS
422;Baegar;6;Today I will have a Meeting over Lunch in Zurich with the guys from Kingfluencer.;1495607273.753453;1495607273U035J4RG4
422;Baegar;1;Therefore I will be out of office from 11:30 to 14:30.;1495607273.753453;1495607273U035J4RG4
423;Joragni;7;By way of exception I'm present today.;1495603431.389468;1495603431U0K4J0613
423;Joragni;2;I'll be taking Friday off this week instead.;1495603431.389468;1495603431U0K4J0613
424;Darnor;1;Ill leave now;1495550845.97314;1495550845U1D7Q9J8M
424;Darnor;3;will be online again at 6pm;1495550845.97314;1495550845U1D7Q9J8M
425;Mamon;3;I will do HO on Friday.;1495548420.1995618;1495548420U27727KK8
426;Styrund;8;:smile:;1495546799.7116554;1495546799U036U40UC
428;Vaerys;5;Not feeling well;1495544062.000104;1495544062U0PLNK7EK
428;Vaerys;1;will leave a little earlier today;1495544062.000104;1495544062U0PLNK7EK
428;Vaerys;5;will stay at home tomorrow;1495544062.000104;1495544062U0PLNK7EK
429;Balaemar;3;As anounced I am in HO today;1495517822.8017714;1495517822U035FRUCY
430;Kenning;3;As anounced I will be in HO tomorrow morning;1495461234.5570679;1495461234U4CM3PGSH
431;Torerne;6;Tomorrow afternoon <@U035AASB8> I are at Witzig;1495456504.442406;1495456504U035FRZHY
432;Tareneos;1;Hi here today Tuesday only i'm away Wednesday-friday;1495440912.764487;1495440912U4C4ZJYNS
433;Ryswell;4;I have to leave today at 15.30 for a X-Ray for my knee.;1495439452.518204;1495439452U2777Q7E3
433;Ryswell;3;I will be in HO after that;1495439452.518204;1495439452U2777Q7E3
434;Mamon;1;I will be in the office around 11:30 today.;1495436943.148322;1495436943U27727KK8
435;Balaemar;3;I will do HO on Tuesday tomorrow).;1495436008.028269;1495436008U035FRUCY
435;Balaemar;8;They will clean the car park;1495436008.028269;1495436008U035FRUCY
435;Balaemar;8;then it will be difficult to find a parking lot when arrived too late;1495436008.028269;1495436008U035FRUCY
436;Gaelralis;2;Since thursday is an official holiday;1495434914.9067721;1495434914U0HLAK1T6
436;Gaelralis;1;I will move to the country side on wesdnesday afternoon;1495434914.9067721;1495434914U0HLAK1T6
436;Gaelralis;3;will do HO on thursday friday).;1495434914.9067721;1495434914U0HLAK1T6
437;Myke;1;I'll be at the office around noon.;1495434551.868703;1495434551U0MGNKETU
437;Myke;8;Worked late last night.;1495434551.868703;1495434551U0MGNKETU
438;Celtaris;6;<@U035J4RG4> I are at BN this morning for a myBANK-now meeting.;1495428866.380668;1495428866U2Q4H6S4E
438;Celtaris;1;We will be at the office around lunch time.;1495428866.380668;1495428866U2Q4H6S4E
439;Kenning;3;I will take HO on Tuesday morning as I expect craftsmen in my flat again).;1495212316.339758;1495212316U4CM3PGSH
440;Barler;1;I need to leave at lunch time next Wednesday;1495207974.162509;1495207974U3LNBFS85
440;Barler;2;have a day off at Friday.;1495207974.162509;1495207974U3LNBFS85
441;Balaemar;8;BN Golive starts on 6pm today.;1495187219.769573;1495187219U035FRUCY
441;Balaemar;1;I will leave at 3pm;1495187219.769573;1495187219U035FRUCY
441;Balaemar;8;be in Gaelralisdby for some issues.;1495187219.769573;1495187219U035FRUCY
442;Balaemar;1;I try to leave at 3pm today;1495186601.6602788;1495186601U035FRUCY
442;Balaemar;8;if the bn golive has no problems) for some family visiting;1495186601.6602788;1495186601U035FRUCY
443;Furrow;8;Just had a longer call with aspectra.;1495172144.5993302;1495172144U3V31A9M0
443;Furrow;1;Now on my way to Winterthur.;1495172144.5993302;1495172144U3V31A9M0
443;Furrow;1;Will be in the office at 09.15..;1495172144.5993302;1495172144U3V31A9M0
444;Olmomir;1;I will have to leave at 17 today;1495106229.6762009;1495106229U0CN3AKDL
444;Olmomir;3;will be available again after 18:30 if needed.;1495106229.6762009;1495106229U0CN3AKDL
445;Balaemar;7;back again;1495096443.94296;1495096443U035FRUCY
446;Gaelralis;8;get well soon!;1495091789.150506;1495091789U0HLAK1T6
447;Balaemar;8;aspectra deliver takes longer than expected.;1495091561.116876;1495091561U035FRUCY
447;Balaemar;1;i am now off for about one hour.;1495091561.116876;1495091561U035FRUCY
448;Braddock;6;I go to Bern in the afternoon together with Sam to present Libra Gemini to the compliance team of ZKB.;1495088898.788595;1495088898U0CNKFT0A
449;Gaelralis;1;as with last week i will move to the country side after lunch.;1495088638.761354;1495088638U0HLAK1T6
449;Gaelralis;3;will be working in the train tomorrow.;1495088638.761354;1495088638U0HLAK1T6
450;Torerne;1;I will leave at 4pm today to attend the spring professional launch dinner in bern.;1495086103.518491;1495086103U035FRZHY
451;Balaemar;3;I am in HO today.;1495081618.143408;1495081618U035FRUCY
451;Balaemar;1;I will be off for about one hour from 8:45 to go to the car check;1495081618.143408;1495081618U035FRUCY
452;Jaereron;5;I still don't feel better ..;1495078451.881733;1495078451U035G5WMS
452;Jaereron;5;I will stay another day at home;1495078451.881733;1495078451U035G5WMS
453;Myke;1;I'll come in a little late today.;1495065349.5949519;1495065349U0MGNKETU
453;Myke;8;Another late night.;1495065349.5949519;1495065349U0MGNKETU
454;Maehagar;1;tomorrow 18 may I won't be in the office in the morning - my appointment with the embassy has been moved;1495032275.303955;1495032275U278DLL2D
455;Balaemar;8;my iNet is working again;1495025623.365558;1495025623U035FRUCY
455;Balaemar;3;so i am in HO tomorrow as announced on monday;1495025623.365558;1495025623U035FRUCY
456;Celtaris;1;I will have to leave around 17:15 today;1495020237.401998;1495020237U2Q4H6S4E
456;Celtaris;3;will be in HO later.;1495020237.401998;1495020237U2Q4H6S4E
457;Tareneos;1;Away in the afternoon 12-18:00) Papi tag #DaaS;1495012340.048489;1495012340U4C4ZJYNS
458;Caenraenos;6;In addition to my absence today tomorrow I will be at BANK-now in Horgen on Friday morning;1495006348.970033;1495006348U035AASB8
458;Caenraenos;1;according to plan in the office by lunch time.;1495006348.970033;1495006348U035AASB8
459;Vaerys;1;Taking longer than expected at the prtho;1495005576.852881;1495005576U0PLNK7EK
459;Vaerys;7;will be back by probably 10:15;1495005576.852881;1495005576U0PLNK7EK
460;Kenning;3;I am in HO / travelling today;1494999670.190775;1494999670U4CM3PGSH
460;Kenning;3;available until 11:00 before taking a plane possibly after 15:00 again;1494999670.190775;1494999670U4CM3PGSH
461;Ryswell;6;Today I am at Budgetcredit;1494999207.1517632;1494999207U2777Q7E3
462;Joragni;2;As scheduled;1494997914.04324;1494997914U0K4J0613
462;Joragni;2;I'm taking the day off today.;1494997914.04324;1494997914U0K4J0613
462;Joragni;8;See you all again on Thursday.;1494997914.04324;1494997914U0K4J0613
463;Jaereron;5;I don’t feel very well ..;1494962048.714;1494962048U035G5WMS
463;Jaereron;5;If it’s tomorror morning not a little bit better I would like to stay at home;1494962048.714;1494962048U035G5WMS
464;Gaelralis;1;tomorrow i will leave at 16:00 to attend the shareholders meeting of my previous employer.;1494953380.197663;1494953380U0HLAK1T6
465;Barler;3;I would like to do Home Office tomorrow so that I can concentrate on my tasks;1494943467.053916;1494943467U3LNBFS85
466;Vaerys;3;Off to Paris for React Europe from Wednesday afternoon to Friday will be working from home tomorrow till ~3pm;1494942753.825077;1494942753U0PLNK7EK
466;Vaerys;6;will then fly out.;1494942753.825077;1494942753U0PLNK7EK
466;Vaerys;4;Will also be unavailable from 8:30 - 9:30 in the morning as I have an appointment with the Ortho;1494942753.825077;1494942753U0PLNK7EK
467;Mamon;3;I will be doing the Home Office today working on my outGaelralisding bug fixing tasks Apologies for a last minute notice.;1494916529.948269;1494916529U27727KK8
468;Overton;1;I will have to leave a bit earlier today;1494914233.711202;1494914233U0PSDKXHR
468;Overton;8;because I have to show some people around my apartment at 5pm.;1494914233.711202;1494914233U0PSDKXHR
468;Overton;3;I will finish up some work after that from home.;1494914233.711202;1494914233U0PSDKXHR
469;Balaemar;1;I will be a bit late.;1494910995.423061;1494910995U035FRUCY
469;Balaemar;8;I have to call my provider to get my phone+inet work.;1494910995.423061;1494910995U035FRUCY
470;Tareneos;8;Balaemar: who's your internet provider?;1494855130.2936811;1494855130U4C4ZJYNS
471;Myke;8;I need to work extra long hour for next few days to rush for deadline;1494854844.218226;1494854844U0MGNKETU
471;Myke;3;so I'll work from home tomorrow;1494854844.218226;1494854844U0MGNKETU
471;Myke;8;Wednesday to save me some commuting time.;1494854844.218226;1494854844U0MGNKETU
472;Tareneos;8;Yes that is really annoying!;1494841617.871577;1494841617U4C4ZJYNS
472;Tareneos;8;i've also lost allot of time in embassies consulates can share a few stories over a beer sometime;1494841617.871577;1494841617U4C4ZJYNS
473;Balaemar;3;I will be in HO on thursday - if my phone;1494835989.833863;1494835989U035FRUCY
473;Balaemar;8;inet works again till then :grimacing:;1494835989.833863;1494835989U035FRUCY
474;Vaerys;8;Yes which is why I took the tracking number;1494835424.738962;1494835424U0PLNK7EK
474;Vaerys;8;it shows the passport reached oerlikon today morning.;1494835424.738962;1494835424U0PLNK7EK
474;Vaerys;8;However these idiots still wasted half of my day.;1494835424.738962;1494835424U0PLNK7EK
475;Tareneos;8;if they sent it by post;1494834826.6372411;1494834826U4C4ZJYNS
475;Tareneos;8;then it has a tracking ID;1494834826.6372411;1494834826U4C4ZJYNS
475;Tareneos;8;i know my embassy posts with insurance the passport out as they require a signature;1494834826.6372411;1494834826U4C4ZJYNS
476;Barler;8;:unamused:;1494834445.5786061;1494834445U3LNBFS85
477;Vaerys;8;Fucking idiots;1494834343.562756;1494834343U0PLNK7EK
477;Vaerys;8;they told me to come;1494834343.562756;1494834343U0PLNK7EK
477;Vaerys;8;collect it;1494834343.562756;1494834343U0PLNK7EK
477;Vaerys;8;now they are claiming it they sent it by post.;1494834343.562756;1494834343U0PLNK7EK
478;Galeris;8;it’s usually in the last place you look;1494833987.508082;1494833987U036SKV77
478;Galeris;8;tell them to look there first :stuck_out_tongue:;1494833987.508082;1494833987U036SKV77
479;Vaerys;1;Might be only back by lunch;1494833916.497228;1494833916U0PLNK7EK
479;Vaerys;8;the Indian embassy can't find my passport as of now :disappointed_relieved:;1494833916.497228;1494833916U0PLNK7EK
480;Caenraenos;6;I will be in München at CIC on Wednesday;1494832328.2675712;1494832328U035AASB8
480;Caenraenos;6;in Berne talking to some compliance expert group on Thursday so away for two days.;1494832328.2675712;1494832328U035AASB8
481;Kenning;6;I will be in Amsterdam for the TNW conference from Wednesday afternoon to Friday.;1494831402.145322;1494831402U4CM3PGSH
481;Kenning;3;On Wednesday morning I would like to take HO as I have to take the flight at noon.;1494831402.145322;1494831402U4CM3PGSH
482;Styrund;3;i will work from HomeOffice on Wednesday morning;1494831078.106575;1494831078U036U40UC
483;Vaerys;1;I have to go the indian embassy in bern tomorrow morning;1494796686.867042;1494796686U0PLNK7EK
483;Vaerys;1;I will come to the office directly from there so I will late;1494796686.867042;1494796686U0PLNK7EK
484;Celtaris;2;I have a day off tomorrow;1494793091.706218;1494793091U2Q4H6S4E
484;Celtaris;3;will be available for BN online from time to time.;1494793091.706218;1494793091U2Q4H6S4E
485;Braddock;1;On Tuesday morning I will start a bit later work longer in the evening.;1494786357.4083786;1494786357U0CNKFT0A
486;Gonaleos;1;I will arrive a few hours later on Monday;1494590270.8340359;1494590270U3W886EF4
487;Kenning;3;As announced I will be in HO from 15:00 forward;1494587920.495088;1494587920U4CM3PGSH
488;Eliar;4;Due to physiotherapy I'll have to leave around 1615 today;1494580390.281687;1494580390U0A8NPHRD
489;Celtaris;1;I will have to leave around 17:15 today;1494574162.2376962;1494574162U2Q4H6S4E
489;Celtaris;3;will be in HO later.;1494574162.2376962;1494574162U2Q4H6S4E
490;Kenning;1;I will be in the office at 9:00;1494570001.749233;1494570001U4CM3PGSH
491;Myke;8;As mentioned;1494568243.589691;1494568243U0MGNKETU
491;Myke;3;I'll be at HO today.;1494568243.589691;1494568243U0MGNKETU
491;Myke;8;Another late night.;1494568243.589691;1494568243U0MGNKETU
492;Gonaleos;1;I have to leave at 17:00 on Friday;1494533807.2805474;1494533807U3W886EF4
493;Brarald;1;I will be in 15 min.;1494503956.0426161;1494503956U4U5QNWTZ
493;Brarald;7;@ the office;1494503956.0426161;1494503956U4U5QNWTZ
494;Maehagar;2;I'll have to take the morning off on Monday 15.05 - I need to visit the Italian embassy yet again;1494501479.6579509;1494501479U278DLL2D
495;Maehagar;8;Sorry forgot to notify anticipately;1494486498.084735;1494486498U278DLL2D
495;Maehagar;1;- I will come @10:00;1494486498.084735;1494486498U278DLL2D
495;Maehagar;8;as I had to send a document to my girlfriend urgently;1494486498.084735;1494486498U278DLL2D
496;Gaelralis;1;today i will leave at noon to transport my double bass on the country side;1494486153.038549;1494486153U0HLAK1T6
497;Vaerys;1;Late by ~30m so at the MigrationCaenraenost;1494482490.6320481;1494482490U0PLNK7EK
498;Braddock;3;Without objections I'd like to do home office tomorrow.;1494481445.538572;1494481445U0CNKFT0A
498;Braddock;4;I've a dentist appointment at 11:30.;1494481445.538572;1494481445U0CNKFT0A
499;Ryswell;4;Tomorrow I have to leave at 10.30 for a doctor appointment;1494428658.789998;1494428658U2777Q7E3
499;Ryswell;7;will be back after that;1494428658.789998;1494428658U2777Q7E3
500;Gonaleos;1;I will come later tomorrow morning;1494400157.98816;1494400157U3W886EF4
500;Gonaleos;1;I will be here at 10:00 latest;1494400157.98816;1494400157U3W886EF4
501;Vaerys;8;Will not be late;1494396849.61265;1494396849U0PLNK7EK
501;Vaerys;1;will like to leave around 2:30 so that I can collect documents for visa application;1494396849.61265;1494396849U0PLNK7EK
502;Celtaris;1;I will have to leave a little earlier today 17:15) will be in HO later.;1494394107.3714118;1494394107U2Q4H6S4E
503;Joragni;2;As scheduled;1494392296.226117;1494392296U0K4J0613
503;Joragni;2;I'm taking the day off today.;1494392296.226117;1494392296U0K4J0613
503;Joragni;8;See you all again on Thursday.;1494392296.226117;1494392296U0K4J0613
504;Vaerys;1;Will be late;1494375992.9865608;1494375992U0PLNK7EK
504;Vaerys;8;need to get some documents from the insurance people;1494375992.9865608;1494375992U0PLNK7EK
505;Gaelralis;1;On thursday I will leave at noon : I have to transport my double bass on the country side.;1494342708.071359;1494342708U0HLAK1T6
506;Gonaleos;1;I have to go to the post office today at 11:30;1494317973.0590632;1494317973U3W886EF4
506;Gonaleos;1;it will take max an hour;1494317973.0590632;1494317973U3W886EF4
507;Celtheon;1;Sorry I'll be late for the daily.;1494311336.176245;1494311336U1RLS54MB
508;Braddock;3;I’m waiting for a computation to finish work untill then at home.;1494311293.1721618;1494311293U0CNKFT0A
508;Braddock;1;I will arrive later in the office this morning.;1494311293.1721618;1494311293U0CNKFT0A
509;Barler;1;I need to leave at 16:00 today;1494311083.151815;1494311083U3LNBFS85
510;Myke;1;I'll be a little late today.;1494308084.893866;1494308084U0MGNKETU
510;Myke;1;There's no direct tram going to the station because of some construction works.;1494308084.893866;1494308084U0MGNKETU
511;Furrow;3;I’ll do HO this afternoon.;1494307931.8818052;1494307931U3V31A9M0
512;Ragaenys;1;I will have to leave earlier tomorrow to have an university exam at 16:45 CEST.;1494242887.808342;1494242887U4A2FRAQ4
513;Kenning;3;I would like to take HO on Friday afternoon to receive a new fridge for my flat.;1494230140.8958619;1494230140U4CM3PGSH
514;Barler;1;I need to leave earlier tomorrow around 16:30;1494224585.242426;1494224585U3LNBFS85
515;Darnor;1;I'll be in the office on Thursday 11th;1494006042.5535061;1494006042U1D7Q9J8M
516;Myke;1;There's further delay in zurich.;1493969053.962185;1493969053U0MGNKETU
516;Myke;1;Be there before 10;1493969053.962185;1493969053U0MGNKETU
517;Tareneos;1;I'm here this morning some time in the afternoon c a 14:00 might have to leave spontaneously if the schools calls;1493968387.886357;1493968387U4C4ZJYNS
517;Tareneos;8;as my kid isn't 100% today;1493968387.886357;1493968387U4C4ZJYNS
518;Myke;1;Missed my Vaelerisr train;1493965240.589556;1493965240U0MGNKETU
518;Myke;1;will be around 40 min late today.;1493965240.589556;1493965240U0MGNKETU
519;Celtheon;1;Tomorrow I have to leave earlier around 16:30;1493931406.032371;1493931406U1RLS54MB
520;Braddock;6;I’m attending a conference;1493898849.187669;1493898849U0CNKFT0A
520;Braddock;7;will be back on Monday next week.;1493898849.187669;1493898849U0CNKFT0A
521;Vaerys;7;I will be back after a meeting with the insurance firm;1493896328.820618;1493896328U0PLNK7EK
522;Styrund;3;I will be in home office tomorrow friday 5.5.2017) afternoon;1493896060.781538;1493896060U036U40UC
523;Brarald;1;I will be at the office in 15 min.;1493881624.510965;1493881624U4U5QNWTZ
523;Brarald;8;:raising_hand::skin-tone-3:;1493881624.510965;1493881624U4U5QNWTZ
524;Eliar;4;Due to a second doctor appointment I have to leave at lunchtime;1493881149.45221;1493881149U0A8NPHRD
524;Eliar;3;will be working from home afterwards;1493881149.45221;1493881149U0A8NPHRD
525;Maehagar;1;My train is late as well;1493879120.250168;1493879120U278DLL2D
525;Maehagar;8;so I'll be too for the daily today sorry.;1493879120.250168;1493879120U278DLL2D
525;Maehagar;8;May the 4th be with you!;1493879120.250168;1493879120U278DLL2D
526;Vaerys;3;I am at home office;1493878160.167208;1493878160U0PLNK7EK
527;Furrow;1;Cancelled train: I'll be at the office around 9.;1493876506.041312;1493876506U3V31A9M0
528;Celtaris;6;<@U035AASB8> I are at BANK-now today.;1493876037.0087981;1493876037U2Q4H6S4E
529;Eliar;4;Due to a doctors appointment I will arrive around 10am in the office tomorrow;1493828845.957498;1493828845U0A8NPHRD
530;Vaerys;3;I am in HO tomorrow;1493825547.964711;1493825547U0PLNK7EK
530;Vaerys;1;need to be home for some repair people who will visit.;1493825547.964711;1493825547U0PLNK7EK
530;Vaerys;8;Will be working on bank-now;1493825547.964711;1493825547U0PLNK7EK
531;Furrow;8;I’ll too.;1493818611.830565;1493818611U3V31A9M0
531;Furrow;1;Leave at 16.20 keep working in train later HO;1493818611.830565;1493818611U3V31A9M0
532;Balaemar;8;I'll too.;1493810716.336765;1493810716U035FRUCY
532;Balaemar;1;Leave at 16:30 also in HO later;1493810716.336765;1493810716U035FRUCY
533;Celtaris;1;I will leave after 17: 00 today;1493809526.1690712;1493809526U2Q4H6S4E
533;Celtaris;3;be in HO about an hour later.;1493809526.1690712;1493809526U2Q4H6S4E
534;Barler;1;I need to leave at 17:00 tomorrow;1493808402.006933;1493808402U3LNBFS85
535;Gaelralis;4;Tomorrow Thursday) i have a doctor’s appointment in the morning.;1493805435.569822;1493805435U0HLAK1T6
535;Gaelralis;1;I should be in the office around 10:30.;1493805435.569822;1493805435U0HLAK1T6
536;Jaereron;1;I have the leave earlier on Thursday .. at around 17:00;1493797065.2704039;1493797065U035G5WMS
537;Ragaenys;8;Morning all;1493796555.20451;1493796555U4A2FRAQ4
537;Ragaenys;6;please be aware that Friday also saturday monday) I will be on a AI course in a different city.;1493796555.20451;1493796555U4A2FRAQ4
537;Ragaenys;8;Thank you.;1493796555.20451;1493796555U4A2FRAQ4
538;Mamon;1;I will be in the office at 10:30;1493796319.174762;1493796319U27727KK8
539;Kenning;1;I must leave at 16:30 because I have to do some errands;1493794920.014008;1493794920U4CM3PGSH
540;Galeris;3;As mentioned before i'm in HO today to focus on document storage;1493793050.833083;1493793050U036SKV77
541;Joragni;2;Today is my scheduled day off.;1493784936.235605;1493784936U0K4J0613
541;Joragni;7;See you again on Thursday.;1493784936.235605;1493784936U0K4J0613
542;Ryswell;6;I am at Budgetcredit tomorrow;1493748592.45955;1493748592U2777Q7E3
543;Braddock;3;On Wednesday I do home office until 10:30;1493743203.934122;1493743203U0CNKFT0A
543;Braddock;6;after that I've a meeting at ZHAW.;1493743203.934122;1493743203U0CNKFT0A
543;Braddock;7;I expect to be in the office in the afternoon.;1493743203.934122;1493743203U0CNKFT0A
544;Galeris;3;I’ll be in HO as well tomorrow to focus on document-storage;1493736663.939045;1493736663U036SKV77
545;Myke;4;I have a physio-appointment tomorrow morning;1493736556.9059026;1493736556U0MGNKETU
545;Myke;3;I'll do HO.;1493736556.9059026;1493736556U0MGNKETU
546;Ragaenys;8;<@U4A2FRAQ4|valenGoneneos> has joined the channel;1493712889.43641;1493712889U4A2FRAQ4
547;Barler;1;I need to leave at 16:15 today;1493706627.661978;1493706627U3LNBFS85
548;Myke;1;I'll be slightly late.;1493706147.617497;1493706147U0MGNKETU
548;Myke;1;The train from Basel was 10min delayed;1493706147.617497;1493706147U0MGNKETU
549;Balaemar;3;I'le in HO today to have an eye on my daughter.;1493701739.2694;1493701739U035FRUCY
549;Balaemar;5;She got ill last saturday with fever;1493701739.2694;1493701739U035FRUCY
549;Balaemar;5;vomiting;1493701739.2694;1493701739U035FRUCY
549;Balaemar;5;has to stay another day at home.;1493701739.2694;1493701739U035FRUCY
550;Celtheon;3;Tomorrow I'll work from HO I need to focus on spectra authorization.;1493664409.15742;1493664409U1RLS54MB
551;Braddock;1;Tuesday morning around 10:00 I need to visit the bank.;1493650169.89574;1493650169U0CNKFT0A
551;Braddock;7;I will be back very soon after.;1493650169.89574;1493650169U0CNKFT0A
552;Gaelralis;1;tuesday afternoon i need to go in zurich.;1493638359.480315;1493638359U0HLAK1T6
552;Gaelralis;7;will then be back arount 16:00;1493638359.480315;1493638359U0HLAK1T6
553;Jaereron;4;I have a doctors appointment on Tuesday morning;1493396891.890274;1493396891U035G5WMS
553;Jaereron;3;so I'm available after lunch;1493396891.890274;1493396891U035G5WMS
554;Myke;1;Ill be at the office around 9.15;1493361418.687115;1493361418U0MGNKETU
555;Baegar;1;i'll be departing at 16:00.;1493358144.373732;1493358144U035J4RG4
556;Furrow;1;Because of heavy snowfall there are no busses here in st.gallen.;1493357726.3401241;1493357726U3V31A9M0
556;Furrow;1;Coming to the office asap...;1493357726.3401241;1493357726U3V31A9M0
557;Joragni;1;I'll be departing today at 16:45.;1493357709.3385231;1493357709U0K4J0613
558;Celtaris;3;I will be in HO this afternoon work on estimates offers for R13.1.;1493356855.2680721;1493356855U2Q4H6S4E
559;Overton;1;I will have to leave the office at 16:00 tomorrow to look at a new flat.;1493311571.42839;1493311571U0PSDKXHR
559;Overton;3;debending on how long it takes I will return to the office work at home in the evening.;1493311571.42839;1493311571U0PSDKXHR
560;Balaemar;1;I have to leave at 16:30 to get my car from garage;1493300826.058706;1493300826U035FRUCY
561;Gaelralis;1;i will take the train at 16:00 to go on the country side.;1493297409.1964571;1493297409U0HLAK1T6
562;Tareneos;1;Hi I come by before lunch for the rest of the day;1493284643.044678;1493284643U4C4ZJYNS
562;Tareneos;8;to help anyone with setting up their VPN.;1493284643.044678;1493284643U4C4ZJYNS
562;Tareneos;8;will work from the Monolith room;1493284643.044678;1493284643U4C4ZJYNS
563;Vaerys;4;I leave at 17:15 for my physio appointment;1493283561.841274;1493283561U0PLNK7EK
564;Olmomir;1;I would need to leave today at 17;1493282113.57318;1493282113U0CN3AKDL
564;Olmomir;3;I will be reachable again after 18:45.;1493282113.57318;1493282113U0CN3AKDL
565;Barler;1;I would like to leave earlier today around 16:00;1493282022.556709;1493282022U3LNBFS85
566;Eliar;4;Due to a doctor's appointment I will be in the office around 10 tomorrow.;1493277585.827438;1493277585U0A8NPHRD
567;Gaelralis;8;thx :slightly_smiling_face:;1493275334.5351741;1493275334U0HLAK1T6
568;Myke;4;I have an appointment for my first physio tomorrow morning so I will be at HO.;1493212382.1234381;1493212382U0MGNKETU
569;Vaerys;8;Get well soon :slightly_smiling_face:;1493211987.028136;1493211987U0PLNK7EK
570;Gaelralis;5;I think that I catched a cold;1493211062.812353;1493211062U0HLAK1T6
570;Gaelralis;1;I will soon head home.;1493211062.812353;1493211062U0HLAK1T6
571;Vaerys;4;Alright I have to leave for my appointment with the  orthopedic.;1493204018.6274161;1493204018U0PLNK7EK
571;Vaerys;7;Be back after that.;1493204018.6274161;1493204018U0PLNK7EK
572;Mamon;1;I will be in the office at 10:30;1493189495.18114;1493189495U27727KK8
573;Maehagar;1;I'll be ~15 mins late for the daily today - missed my train;1493187947.009589;1493187947U278DLL2D
574;Myke;1;I'll be about 30 min delayed because of bad weather -;1493187781.992438;1493187781U0MGNKETU
574;Myke;1;mistakenly boarded the slow regional train.;1493187781.992438;1493187781U0MGNKETU
575;Vaerys;3;I am in home office today;1493186622.87623;1493186622U0PLNK7EK
576;Joragni;2;Today is my scheduled day off.;1493182482.523739;1493182482U0K4J0613
576;Joragni;7;See you again on Thursday.;1493182482.523739;1493182482U0K4J0613
